Gene,Chromosome,Start,End
Bn2730,A05,1254357,3359021
Bn2731,A05,1214870,3148488
Bn2732,A06,3155402,4423361
Bn2733,A10,3375362,3873229
Bn2734,A05,1732374,3732042
Bn2735,A05,3221714,4103693
Bn2736,A05,3574455,3773028
Bn2737,A10,4578906,4814433
Bn2738,A06,1615721,4312947
Bn2739,A06,4485784,4674682
Bn2740,A09,4290463,4510918
Bn2741,A06,3836994,4363241
Bn2742,A05,4267130,4929175
Bn2743,A03,3093272,3792677
Bn2744,A10,1413570,2185138
Bn2745,A04,3329059,3631609
Bn2746,A08,2382362,2600230
Bn2747,A08,2561531,4714622
Bn2748,A05,3359164,3501337
Bn2749,A02,3056406,4126378
Bn2750,A08,3928001,4181625
Bn2751,A07,4714469,4880185
Bn2752,A06,2113873,3817625
Bn2753,A08,1774334,4725462
Bn2754,A09,2345057,3442459
Bn2755,A09,3008159,4285306
Bn2756,A10,4557461,4666338
Bn2757,A01,4413818,4607442
Bn2758,A04,1129319,1616373
Bn2759,A09,2327312,3763000
Bn2760,A05,1936609,3885666
Bn2761,A03,4966416,4996417
Bn2762,A10,1399852,3344300
Bn2763,A04,2371195,3269802
Bn2764,A07,3572143,4681361
Bn2765,A05,3244766,4560468
Bn2766,A03,3545372,4939704
Bn2767,A03,4840316,4926779
Bn2768,A06,1597321,3877246
Bn2769,A09,4163740,4975415
Bn2770,A08,3770549,4196969
Bn2771,A07,2002028,3478335
Bn2772,A04,1865445,3598728
Bn2773,A09,1146174,4071946
Bn2774,A04,1723465,1960475
Bn2775,A04,4397675,4831105
Bn2776,A10,2483949,4520585
Bn2777,A05,2101208,3932353
Bn2778,A05,1243203,3271699
Bn2779,A07,3100501,3971993
Bn2780,A02,1314414,2899533
Bn2781,A06,4132137,4473253
Bn2782,A03,2277113,2395561
Bn2783,A05,2054956,4004587
Bn2784,A06,3962106,4468329
Bn2785,A08,3244077,3750924
Bn2786,A04,1475955,2685038
Bn2787,A10,2874979,3074069
Bn2788,A03,3168002,3932671
Bn2789,A02,4943030,4975935
Bn2790,A02,4103071,4355215
Bn2791,A04,4852115,4887703
Bn2792,A10,3385826,4556743
Bn2793,A07,3788024,4968372
Bn2794,A09,3651965,4275182
Bn2795,A03,1003874,1612572
Bn2796,A05,1926804,4316264
Bn2797,A09,3293462,3707151
Bn2798,A02,3188418,3693454
Bn2799,A01,4347451,4387989
Bn2800,A06,4920292,4973156
Bn2801,A08,2905094,4455023
Bn2802,A07,4512776,4993766
Bn2803,A02,4071912,4640465
Bn2804,A09,1159277,2851800
Bn2805,A07,1767836,2553816
Bn2806,A02,3275576,4601518
Bn2807,A02,2412924,4525639
Bn2808,A04,3667401,3897806
Bn2809,A07,4885137,4910360
Bn2810,A09,4580076,4830041
Bn2811,A05,3647949,4433356
Bn2812,A09,3624765,4792972
Bn2813,A10,3361635,4231781
Bn2814,A06,1351128,4019533
Bn2815,A04,3066357,4756483
Bn2816,A02,2921936,4884802
Bn2817,A06,1251842,1711930
Bn2818,A10,4994634,4997145
Bn2819,A02,4094755,4998108
Bn2820,A07,2137265,3812822
Bn2821,A05,2136222,4252974
Bn2822,A09,3308515,4953401
Bn2823,A10,2388945,4514442
Bn2824,A02,3723421,4578256
Bn2825,A08,2995048,4595023
Bn2826,A03,1900319,3862083
Bn2827,A07,1672816,2765773
Bn2828,A06,1333137,1872768
Bn2829,A08,2837812,4215972
Bn2830,A05,1446579,4017228
Bn2831,A05,4176558,4995513
Bn2832,A01,1077262,1722614
Bn2833,A10,3608198,4502482
Bn2834,A09,4581017,4618699
Bn2835,A01,4065999,4356943
Bn2836,A10,4358231,4794801
Bn2837,A01,2765257,2904219
Bn2838,A10,4846628,4890598
Bn2839,A05,3626977,4570431
Bn2840,A04,1066039,3454996
Bn2841,A04,4403928,4901140
Bn2842,A06,2408564,4271830
Bn2843,A09,3604480,4781873
Bn2844,A08,3103910,3624438
Bn2845,A05,3314064,3870479
Bn2846,A08,3048486,4145843
Bn2847,A04,2538308,3936881
Bn2848,A01,3706407,4504654
Bn2849,A09,1959709,2326129
Bn2850,A01,3058739,4726030
Bn2851,A08,1889788,3118160
Bn2852,A01,4412582,4573406
Bn2853,A01,2870682,3590956
Bn2854,A03,2505370,4004429
Bn2855,A09,3544236,4269787
Bn2856,A09,2291833,3016259
Bn2857,A05,3266537,3402967
Bn2858,A02,2580565,2844029
Bn2859,A04,4603631,4685430
Bn2860,A01,2278155,2340200
Bn2861,A02,3383967,3405745
Bn2862,A08,3036761,3485355
Bn2863,A06,4370407,4783467
Bn2864,A01,1957140,4997167
Bn2865,A09,2695603,2731204
Bn2866,A01,2164554,2275885
Bn2867,A02,2343003,4215399
Bn2868,A10,1834074,3093791
Bn2869,A06,3195326,4650829
Bn2870,A10,3678055,4080739
Bn2871,A07,4496994,4521054
Bn2872,A06,4028297,4239317
Bn2873,A08,4915127,4942278
Bn2874,A06,3482893,4114690
Bn2875,A08,4584603,4998177
Bn2876,A10,1788726,2477470
Bn2877,A04,2530392,3288317
Bn2878,A09,4353085,4830917
Bn2879,A02,3531776,4654173
Bn2880,A02,1268630,3013553
Bn2881,A06,1829461,2800863
Bn2882,A05,4158361,4991367
Bn2883,A08,2063537,2944961
Bn2884,A04,4793192,4886995
Bn2885,A02,3405841,4051803
Bn2886,A08,1964119,3270020
Bn2887,A02,4787435,4866158
Bn2888,A08,2446153,4540712
Bn2889,A07,3060222,3838097
Bn2890,A02,2557611,3552714
Bn2891,A07,4191147,4377861
Bn2892,A01,4768447,4953354
Bn2893,A01,3159462,3601555
Bn2894,A10,3902357,4336197
Bn2895,A08,2041433,2576092
Bn2896,A03,3742528,4219675
Bn2897,A08,3022075,3570529
Bn2898,A02,2692177,3569820
Bn2899,A10,3109058,3667934
Bn2900,A03,3704112,4324466
Bn2901,A09,3921700,4434599
Bn2902,A05,1842605,4616170
Bn2903,A08,2109590,2933781
Bn2904,A10,1561190,4367038
Bn2905,A05,3134058,3984694
Bn2906,A02,2255877,4912846
Bn2907,A09,3315647,3419752
Bn2908,A01,3620559,4074979
Bn2909,A10,1990069,3766486
Bn2910,A02,3922140,4886487
Bn2911,A02,1889495,3622911
Bn2912,A05,2087106,2219841
Bn2913,A07,1488183,2841489
Bn2914,A03,1325701,3436108
Bn2915,A05,2940305,4996623
Bn2916,A05,4475115,4850056
Bn2917,A05,1837358,3689239
Bn2918,A03,2792935,3382825
Bn2919,A02,2439747,3840057
Bn2920,A07,1606116,4623985
Bn2921,A05,2370501,4342687
Bn2922,A03,4790777,4986754
Bn2923,A08,4987090,4992588
Bn2924,A08,1416258,4597287
Bn2925,A07,1312507,3758232
Bn2926,A04,3745571,4910245
Bn2927,A04,2092780,3336851
Bn2928,A02,2805166,4679954
Bn2929,A08,1581177,2178908
Bn2930,A09,3123351,4036556
Bn2931,A03,2167013,4430792
Bn2932,A03,2340106,4961384
Bn2933,A10,4975217,4998457
Bn2934,A05,4556152,4861116
Bn2935,A02,1640114,2632792
Bn2936,A07,4199205,4971414
Bn2937,A03,3175315,4102540
Bn2938,A02,1637634,4570060
Bn2939,A05,2114651,3564899
Bn2940,A01,3916855,4522877
Bn2941,A03,2756371,4681362
Bn2942,A05,4541314,4545210
Bn2943,A02,4744816,4911456
Bn2944,A08,3537798,4977734
Bn2945,A03,3435212,3968499
Bn2946,A02,1099545,3981482
Bn2947,A06,1836443,2916130
Bn2948,A07,4863571,4916096
Bn2949,A04,1524987,4160377
Bn2950,A06,1446993,3307161
Bn2951,A02,3663146,4492960
Bn2952,A03,1368398,4911967
Bn2953,A05,3865492,3872522
Bn2954,A03,2731571,2772181
Bn2955,A10,3939138,4399215
Bn2956,A02,2574734,3873663
Bn2957,A08,4697601,4846146
Bn2958,A08,4470868,4591851
Bn2959,A01,3193276,3243735
Bn2960,A03,2473733,3926588
Bn2961,A09,4480055,4658400
Bn2962,A09,1963506,4266955
Bn2963,A06,2046891,2929209
Bn2964,A07,4786542,4922612
Bn2965,A03,2394210,4208155
Bn2966,A09,1001035,2016719
Bn2967,A01,2875896,4524468
Bn2968,A02,2464872,4952882
Bn2969,A01,2875988,4910800
Bn2970,A04,1081311,1137363
Bn2971,A07,3059675,4328233
Bn2972,A01,1237539,4457620
Bn2973,A10,1566494,1678412
Bn2974,A01,1187164,4524141
Bn2975,A07,4438910,4576015
Bn2976,A02,3946249,4559314
Bn2977,A09,4560221,4763082
Bn2978,A08,3617326,4302955
Bn2979,A01,3509234,4270774
Bn2980,A03,2489770,4574625
Bn2981,A05,1845558,1926732
Bn2982,A06,2023378,4106132
Bn2983,A03,4898092,4923310
Bn2984,A05,1500133,2618548
Bn2985,A08,2249066,4315291
Bn2986,A09,3272859,4416329
Bn2987,A09,2617828,3242424
Bn2988,A04,3002337,3817748
Bn2989,A10,2523997,3674632
Bn2990,A10,4181710,4259338
Bn2991,A04,4266581,4651847
Bn2992,A06,4271191,4399173
Bn2993,A06,2689872,4552698
Bn2994,A06,2430671,3699061
Bn2995,A06,3306499,3771177
Bn2996,A05,2006135,4814589
Bn2997,A04,1789698,4982259
Bn2998,A10,2478137,4034271
Bn2999,A07,2902382,4645584
Bn3000,A04,4837648,4958050
Bn3001,A10,3525788,4983994
Bn3002,A05,2364688,2551761
Bn3003,A06,3129320,3342935
Bn3004,A02,1154018,2118411
Bn3005,A02,3950118,4094983
Bn3006,A03,3374777,3812494
Bn3007,A07,4038898,4192322
Bn3008,A04,4496264,4758707
Bn3009,A05,2135817,3143149
Bn3010,A04,4181329,4726511
Bn3011,A02,3133784,3174463
Bn3012,A05,4040829,4393157
Bn3013,A09,2273883,4009048
Bn3014,A08,2565329,4294881
Bn3015,A09,3298864,3603816
Bn3016,A01,1942129,3130170
Bn3017,A08,2061922,2513197
Bn3018,A01,2288052,2621356
Bn3019,A02,1774305,3708923
Bn3020,A03,4872307,4934857
Bn3021,A07,2092824,2126978
Bn3022,A07,4153706,4272789
Bn3023,A02,1383388,4528373
Bn3024,A01,4496541,4907528
Bn3025,A04,3416427,3676602
Bn3026,A03,3475692,3697530
Bn3027,A07,1913884,4459699
Bn3028,A02,2357076,2744912
Bn3029,A10,4387982,4429883
Bn3030,A07,2423956,4138102
Bn3031,A01,1422633,1646207
Bn3032,A06,3106977,4673136
Bn3033,A03,4617639,4680080
Bn3034,A10,4576051,4992383
Bn3035,A04,4637444,4891532
Bn3036,A01,3125520,4113168
Bn3037,A07,4835238,4962648
Bn3038,A01,4795801,4908234
Bn3039,A05,4099408,4529189
Bn3040,A02,2550410,3797503
Bn3041,A01,3915605,4940703
Bn3042,A09,4479681,4677294
Bn3043,A09,3402764,3551033
Bn3044,A08,3018200,4770484
Bn3045,A01,3970543,4262276
Bn3046,A08,4404308,4909909
Bn3047,A03,2879781,4141836
Bn3048,A01,4479941,4654005
Bn3049,A01,4077861,4806343
Bn3050,A03,2982875,3657993
Bn3051,A02,1794915,3219777
Bn3052,A06,2989042,4654726
Bn3053,A03,2259493,3309092
Bn3054,A03,2245434,3130181
Bn3055,A03,1710578,2682623
Bn3056,A09,1803078,1935680
Bn3057,A05,4178314,4248270
Bn3058,A10,3300620,3309741
Bn3059,A09,1908027,2581845
Bn3060,A08,3129253,4387221
Bn3061,A01,3869983,3986084
Bn3062,A06,3155099,4190445
Bn3063,A01,2887664,4251117
Bn3064,A10,1527320,1832239
Bn3065,A10,1906868,2163517
Bn3066,A04,4984827,4995384
Bn3067,A05,1342743,4457334
Bn3068,A02,4442777,4939222
Bn3069,A04,4563208,4791360
Bn3070,A05,3492730,4179668
Bn3071,A02,1110530,2029505
Bn3072,A07,1961999,2866150
Bn3073,A06,4820198,4859122
Bn3074,A07,2573944,3907847
Bn3075,A01,3628060,4291371
Bn3076,A10,1663865,2139735
Bn3077,A06,4502996,4746035
Bn3078,A07,1387400,4817534
Bn3079,A08,3407378,3862800
Bn3080,A06,3097924,4085506
Bn3081,A03,2064419,3142095
Bn3082,A09,1832370,2603818
Bn3083,A08,2070329,4174198
Bn3084,A09,4055609,4781611
Bn3085,A07,1363000,3279973
Bn3086,A01,4600455,4660474
Bn3087,A01,2086975,3485561
Bn3088,A09,3389303,3578719
Bn3089,A02,3169110,3598449
Bn3090,A08,2125353,4785087
Bn3091,A04,3432248,3624019
Bn3092,A02,2999808,3144696
Bn3093,A08,3508354,4562767
Bn3094,A06,2117184,2842191
Bn3095,A08,3276397,4698911
Bn3096,A03,3669965,4509578
Bn3097,A06,1902118,3548257
Bn3098,A08,2631689,4472366
Bn3099,A04,1943612,4556400
Bn3100,A08,2831074,3635314
Bn3101,A10,2483719,3401031
Bn3102,A06,3540434,4612928
Bn3103,A04,4972901,4976201
Bn3104,A02,4443502,4768406
Bn3105,A08,1935051,4387579
Bn3106,A01,2570670,4673737
Bn3107,A03,1311619,2379631
Bn3108,A03,1468986,4151568
Bn3109,A10,2005232,4271794
Bn3110,A05,2929023,3350174
Bn3111,A02,1014520,3152033
Bn3112,A10,2505895,3828189
Bn3113,A04,4709833,4854871
Bn3114,A08,1556595,3155660
Bn3115,A02,2696916,4419000
Bn3116,A09,4776284,4900801
Bn3117,A05,3036879,4149980
Bn3118,A05,1297495,4373088
Bn3119,A03,1246189,4865098
Bn3120,A08,2996921,3584152
Bn3121,A01,3025361,3281278
Bn3122,A07,3058851,4841987
Bn3123,A08,4072931,4812571
Bn3124,A06,4088547,4777523
Bn3125,A02,2798252,3691950
Bn3126,A09,4142445,4877709
Bn3127,A10,2967335,4921147
Bn3128,A06,3439570,4042923
Bn3129,A01,4371769,4587829
Bn3130,A08,2800450,3193525
Bn3131,A10,4097901,4828767
Bn3132,A04,1462266,3023067
Bn3133,A01,1366808,1978506
Bn3134,A07,2611137,3194636
Bn3135,A01,3535194,3622576
Bn3136,A02,3339231,3445430
Bn3137,A09,4218113,4927193
Bn3138,A05,4036218,4464490
Bn3139,A03,3458936,3888372
Bn3140,A09,3517972,4668050
Bn3141,A10,4263244,4939215
Bn3142,A09,1574172,4557155
Bn3143,A01,1513223,2214983
Bn3144,A05,2676769,4607558
Bn3145,A05,2927971,4876413
Bn3146,A05,1017593,2294711
Bn3147,A09,3242411,3765643
Bn3148,A01,2214805,3460639
Bn3149,A05,1001502,4075455
Bn3150,A07,3957086,4565515
Bn3151,A05,1769108,4942507
Bn3152,A02,1099540,1720868
Bn3153,A09,3540186,4679743
Bn3154,A08,1249821,2642029
Bn3155,A02,1123317,4714569
Bn3156,A01,4166964,4770739
Bn3157,A01,4345469,4707348
Bn3158,A10,2129626,2710042
Bn3159,A08,4889928,4992038
Bn3160,A06,2042203,3901237
Bn3161,A08,2639542,3409287
Bn3162,A01,3468467,3889597
Bn3163,A03,1048438,3908086
Bn3164,A02,3195436,3484001
Bn3165,A07,1790498,3866765
Bn3166,A08,1775398,4072275
Bn3167,A07,3882893,4415319
Bn3168,A10,2544709,3359656
Bn3169,A10,3365335,3693470
Bn3170,A04,2053607,3388678
Bn3171,A08,1140146,3769109
Bn3172,A02,3516240,4472495
Bn3173,A01,4907978,4915852
Bn3174,A02,2268363,4375474
Bn3175,A08,4133557,4414421
Bn3176,A02,4761272,4836567
Bn3177,A07,2855650,3924031
Bn3178,A01,4306285,4988142
Bn3179,A05,1314991,1596548
Bn3180,A08,4238320,4429911
Bn3181,A07,1927756,4655828
Bn3182,A04,2776329,4495971
Bn3183,A02,2386799,3720881
Bn3184,A03,1470486,2541891
Bn3185,A09,4843561,4867828
Bn3186,A06,1606708,3963536
Bn3187,A03,3443460,4433586
Bn3188,A03,4011505,4222623
Bn3189,A03,2255761,4802713
Bn3190,A05,1033491,3723238
Bn3191,A10,3208109,4152264
Bn3192,A05,2536157,4969303
Bn3193,A02,3456771,3777437
Bn3194,A09,2733718,3633763
Bn3195,A01,3711822,4206784
Bn3196,A04,2755089,3611685
Bn3197,A08,1806384,3762076
Bn3198,A01,4504185,4688499
Bn3199,A09,3173776,4415560
Bn3200,A09,4971683,4978961
Bn3201,A10,3168378,3471302
Bn3202,A01,1888021,3178903
Bn3203,A08,3156502,4341104
Bn3204,A05,4437743,4908635
Bn3205,A08,2284197,3989560
Bn3206,A02,4230915,4659159
Bn3207,A03,1868174,2885543
Bn3208,A04,1992763,2874773
Bn3209,A05,4265421,4303929
Bn3210,A01,1347701,3499983
Bn3211,A08,1476989,4535783
Bn3212,A09,1323954,2627731
Bn3213,A01,1138557,2094367
Bn3214,A03,4454563,4531527
Bn3215,A08,1666607,3626756
Bn3216,A08,4523960,4587198
Bn3217,A02,3221814,4287329
Bn3218,A04,1112120,1368343
Bn3219,A10,4389573,4936892
Bn3220,A01,4961195,4991604
Bn3221,A06,3305857,4197584
Bn3222,A10,3840052,4849908
Bn3223,A06,3639691,4135135
Bn3224,A07,1530538,1792194
Bn3225,A02,1095364,1315009
Bn3226,A08,2003375,4124789
Bn3227,A06,2248289,4386653
Bn3228,A04,1349376,3077147
Bn3229,A09,4483915,4654694
Bn3230,A06,3845151,4562013
Bn3231,A10,2637915,2643661
Bn3232,A02,2272659,2853091
Bn3233,A09,1888189,3844862
Bn3234,A03,3266683,4811944
Bn3235,A04,1701862,3212862
Bn3236,A03,4454540,4953080
Bn3237,A02,3762697,4673209
Bn3238,A02,4754027,4768686
Bn3239,A10,3060693,4946052
Bn3240,A07,2047133,3814408
Bn3241,A01,4160690,4670229
Bn3242,A01,3654360,3833550
Bn3243,A08,3319747,4037322
Bn3244,A03,2153623,2990713
Bn3245,A01,2163018,4225428
Bn3246,A03,3545293,3549624
Bn3247,A09,4282639,4981826
Bn3248,A03,1247444,2067617
Bn3249,A03,3048368,3254154
Bn3250,A01,2816649,3187783
Bn3251,A04,1456673,4139381
Bn3252,A05,3180740,4004913
Bn3253,A02,3573239,3902592
Bn3254,A09,3658009,4580556
Bn3255,A05,1779906,2302525
Bn3256,A04,3599335,4561164
Bn3257,A07,4236405,4705853
Bn3258,A08,4943939,4995571
Bn3259,A01,3384088,4554207
Bn3260,A10,2339642,3719112
Bn3261,A10,1801034,3121503
Bn3262,A04,4586789,4620048
Bn3263,A06,3668309,4390067
Bn3264,A10,2918708,3606270
Bn3265,A08,2347825,2443650
Bn3266,A03,3734062,4357818
Bn3267,A08,3260822,3463085
Bn3268,A05,1323531,2592928
Bn3269,A06,2527500,2650418
Bn3270,A02,2431969,4081064
Bn3271,A07,3936692,4993354
Bn3272,A02,1975748,4325896
Bn3273,A01,1275696,4903572
Bn3274,A01,3731862,4178626
Bn3275,A01,1058981,2569414
Bn3276,A05,2368191,2712535
Bn3277,A06,4344246,4848712
Bn3278,A01,3364960,3461105
Bn3279,A08,3405526,4924880
Bn3280,A02,1027654,4796619
Bn3281,A08,1795348,3927167
Bn3282,A06,2814969,4184880
Bn3283,A09,4236451,4304349
Bn3284,A06,3945032,4987176
Bn3285,A07,3436451,3782265
Bn3286,A04,1035712,1326379
Bn3287,A01,1691157,2442226
Bn3288,A09,2378961,3122910
Bn3289,A02,4544613,4785061
Bn3290,A03,4711424,4823336
Bn3291,A07,3652825,3662782
Bn3292,A09,3127852,3192012
Bn3293,A06,3338785,4481965
Bn3294,A10,3663307,4926828
Bn3295,A06,3674835,4308162
Bn3296,A06,1646084,4393536
Bn3297,A04,4389586,4640950
Bn3298,A02,3028065,4175505
Bn3299,A04,3664355,4473528
Bn3300,A08,3066673,3214625
Bn3301,A07,4571531,4939003
Bn3302,A06,1233047,3137256
Bn3303,A03,3167010,4377621
Bn3304,A10,4743389,4920202
Bn3305,A03,2327214,4276067
Bn3306,A07,2603722,2681474
Bn3307,A08,2279684,4416754
Bn3308,A01,4952815,4994966
Bn3309,A05,1240471,1458658
Bn3310,A07,1589976,2073530
Bn3311,A10,4432626,4743520
Bn3312,A08,2185583,2301406
Bn3313,A06,4077293,4417913
Bn3314,A08,1690089,3835978
Bn3315,A06,4079940,4166045
Bn3316,A04,2122156,2585074
Bn3317,A10,4004915,4429855
Bn3318,A08,2364374,4082645
Bn3319,A06,4114896,4700594
Bn3320,A03,2773277,3400624
Bn3321,A10,3146254,4052816
Bn3322,A06,4073540,4224454
Bn3323,A01,4433574,4484933
Bn3324,A04,2489726,3137975
Bn3325,A03,2970920,3247411
Bn3326,A06,4594222,4976589
Bn3327,A08,1990690,4763369
Bn3328,A08,1208465,3207414
Bn3329,A06,3386811,4679758
Bn3330,A06,3597553,4211736
Bn3331,A06,3532130,4810861
Bn3332,A09,1524793,3011414
Bn3333,A04,4019180,4886965
Bn3334,A01,2742179,4947271
Bn3335,A08,4180246,4796106
Bn3336,A01,1779576,4309954
Bn3337,A03,2941224,4956996
Bn3338,A06,2727816,3269657
Bn3339,A08,1182398,4463365
Bn3340,A07,4684381,4987735
Bn3341,A02,2152575,2973292
Bn3342,A06,3841202,4765391
Bn3343,A06,1174814,2031296
Bn3344,A10,3195793,4940347
Bn3345,A06,2669226,3547189
Bn3346,A01,4244236,4651592
Bn3347,A05,2431624,3518216
Bn3348,A10,2703222,4301542
Bn3349,A01,2696369,2727320
Bn3350,A04,1081727,1199672
Bn3351,A08,4708493,4945710
Bn3352,A03,2511265,3321079
Bn3353,A05,1603285,1640913
Bn3354,A04,1169979,2249950
Bn3355,A08,3963817,4377805
Bn3356,A01,3995537,4590515
Bn3357,A07,2302465,4579681
Bn3358,A03,3613347,4573243
Bn3359,A08,3981443,4721898
Bn3360,A10,1828050,4956149
Bn3361,A08,3854465,3887818
Bn3362,A10,4274792,4532544
Bn3363,A03,1517546,4204599
Bn3364,A04,4834111,4915863
Bn3365,A03,3590921,4789172
Bn3366,A03,3620677,4254714
Bn3367,A09,4612138,4668180
Bn3368,A08,4670348,4857908
Bn3369,A08,2106253,2802523
Bn3370,A05,1223386,2823237
Bn3371,A06,4935480,4955313
Bn3372,A08,3052609,4950602
Bn3373,A06,3803468,4494348
Bn3374,A10,3891080,4898060
Bn3375,A02,1253446,3097815
Bn3376,A10,1864952,3424808
Bn3377,A04,4675525,4835681
Bn3378,A02,3991404,4304864
Bn3379,A01,2751272,4693914
Bn3380,A06,4106668,4421000
Bn3381,A07,2815687,4209149
Bn3382,A07,2310897,4545532
Bn3383,A06,1026490,3671105
Bn3384,A06,2810683,4046546
Bn3385,A07,3479888,3676124
Bn3386,A08,4862903,4998138
Bn3387,A07,4474379,4576575
Bn3388,A10,3099024,3869889
Bn3389,A05,1249871,1481844
Bn3390,A07,2404800,3716141
Bn3391,A06,4428896,4776991
Bn3392,A09,4556926,4594129
Bn3393,A07,2101594,2782739
Bn3394,A10,3089126,3977761
Bn3395,A09,3421326,4637674
Bn3396,A06,4643299,4995492
Bn3397,A01,1267543,3792327
Bn3398,A08,4102545,4752887
Bn3399,A03,3516718,4529412
Bn3400,A02,3305087,3397816
Bn3401,A03,3931989,4537360
Bn3402,A04,1503301,3221095
Bn3403,A09,3069214,4509953
Bn3404,A02,1488616,1691701
Bn3405,A04,4731184,4842038
Bn3406,A01,4123029,4527321
Bn3407,A08,2215965,4205575
Bn3408,A05,3005756,4168955
Bn3409,A02,3317101,3638354
Bn3410,A08,4655688,4856093
Bn3411,A08,3356056,4601771
Bn3412,A07,3606923,4012071
Bn3413,A04,1116249,4320083
Bn3414,A06,3297863,4671796
Bn3415,A02,3576229,3869380
Bn3416,A04,3158076,4147688
Bn3417,A02,4947431,4974675
Bn3418,A05,1489160,2699790
Bn3419,A03,1001010,1006111
Bn3420,A10,3076118,4548795
Bn3421,A10,4999528,4999784
Bn3422,A04,2484525,4137920
Bn3423,A10,2138937,3016878
Bn3424,A09,3185212,3422431
Bn3425,A09,3789103,4028796
Bn3426,A08,2530281,4388877
Bn3427,A09,2241974,2461048
Bn3428,A02,3340073,3847670
Bn3429,A09,2729224,3851662
Bn3430,A03,1511042,2634384
Bn3431,A05,2593200,3207544
Bn3432,A10,4347571,4855251
Bn3433,A04,2352035,4893494
Bn3434,A06,4922190,4981484
Bn3435,A04,2104670,3945118
Bn3436,A07,4329235,4329275
Bn3437,A02,4476587,4556886
Bn3438,A01,2202583,3741773
Bn3439,A06,2962437,3310677
Bn3440,A06,3071383,4971536
Bn3441,A04,4921144,4979822
Bn3442,A04,3821935,4573089
Bn3443,A03,3813327,4256935
Bn3444,A10,2487562,2711820
Bn3445,A04,4663037,4975680
Bn3446,A01,1499573,4606586
Bn3447,A01,1466626,3417810
Bn3448,A08,2094696,3910834
Bn3449,A01,2374883,4685418
Bn3450,A08,3485061,4643830
Bn3451,A08,4189832,4883090
Bn3452,A06,4237484,4803594
Bn3453,A08,4685290,4998429
Bn3454,A06,1339505,4538989
Bn3455,A05,2574449,3307791
Bn3456,A03,2208745,4066242
Bn3457,A06,2283339,4151908
Bn3458,A09,3269652,4370698
Bn3459,A09,3738271,4492886
Bn3460,A09,3473567,3571781
Bn3461,A10,1083819,4004455
Bn3462,A04,3252665,3266908
Bn3463,A06,4450638,4733639
Bn3464,A02,2957173,4679944
Bn3465,A10,2225405,4850493
Bn3466,A06,1441461,4456473
Bn3467,A08,2513135,2836398
Bn3468,A05,4978021,4998541
Bn3469,A07,2884635,3024210
Bn3470,A10,1464129,3610472
Bn3471,A05,4286614,4702403
Bn3472,A04,4699632,4715386
Bn3473,A07,2204147,2840357
Bn3474,A10,2366435,2809949
Bn3475,A05,4453504,4759201
Bn3476,A06,4297427,4474552
Bn3477,A02,3354045,4637401
Bn3478,A05,2681998,2884965
Bn3479,A02,3910124,4678523
Bn3480,A08,4702388,4906689
Bn3481,A07,4075216,4174501
Bn3482,A01,3981380,4519098
Bn3483,A04,1821052,3156223
Bn3484,A03,4190503,4283457
Bn3485,A07,1811162,2359488
Bn3486,A04,1290751,1348417
Bn3487,A07,1071774,4067226
Bn3488,A08,3073056,4602404
Bn3489,A07,3802512,4100633
Bn3490,A01,2293016,4982030
Bn3491,A06,2671096,2767525
Bn3492,A05,3471210,3587315
Bn3493,A03,1060754,2507001
Bn3494,A08,4449706,4977775
Bn3495,A03,4402262,4729548
Bn3496,A05,1156155,4228649
Bn3497,A05,3891944,4878554
Bn3498,A02,1112051,4316517
Bn3499,A08,1394009,4721613
Bn3500,A03,4360825,4944306
Bn3501,A04,1996294,3903910
Bn3502,A01,3882620,4803368
Bn3503,A06,3488603,3886368
Bn3504,A09,3794178,4730949
Bn3505,A07,1996013,4169148
Bn3506,A10,2193576,2985056
Bn3507,A10,4759499,4771552
Bn3508,A03,2170357,3423105
Bn3509,A03,2893547,4654553
Bn3510,A09,4427849,4584749
Bn3511,A10,2571184,3826410
Bn3512,A08,2427314,4605281
Bn3513,A10,1320038,1816701
Bn3514,A07,1886061,2412772
Bn3515,A05,2790279,3410943
Bn3516,A06,2857724,4723229
Bn3517,A04,3000006,3089368
Bn3518,A08,4754330,4822875
Bn3519,A05,1756577,2360850
Bn3520,A02,1457561,3309742
Bn3521,A04,3744191,4512552
Bn3522,A06,2018867,2592349
Bn3523,A08,1853446,3847683
Bn3524,A09,1858593,3618356
Bn3525,A09,1403661,2007655
Bn3526,A09,3008350,3314054
Bn3527,A08,2534910,3343928
Bn3528,A01,3488674,4761248
Bn3529,A03,4436663,4905146
Bn3530,A06,1134464,4997197
Bn3531,A03,2848795,4579133
Bn3532,A04,1540413,2456015
Bn3533,A04,1225207,4571314
Bn3534,A02,3668927,4414898
Bn3535,A01,1581188,3121473
Bn3536,A01,2007464,3617710
Bn3537,A06,4125487,4599138
Bn3538,A08,2661804,3411710
Bn3539,A03,1876156,4722920
Bn3540,A06,4048177,4627749
Bn3541,A05,2773786,3138600
Bn3542,A01,1647841,4315320
Bn3543,A05,1891329,2225374
Bn3544,A10,3912021,4586371
Bn3545,A10,2620331,2870528
Bn3546,A02,3292499,4066470
Bn3547,A08,4513075,4837228
Bn3548,A03,4236772,4756810
Bn3549,A04,1462327,4648375
Bn3550,A06,1261213,3863146
Bn3551,A03,1278147,1744946
