Chromosomes,Gene,Start,End,Size,Type
chr02,Bn8637,26403262,93910761,67507499,CN
chr02,Bn8638,84755896,92970571,8214675,TN
chr02,Bn8639,49185024,90542109,41357085,RLK
chr02,Bn8640,34884085,75193588,40309503,TNL
chr02,Bn8641,2214913,55611685,53396772,RLK
chr02,Bn8642,36151746,77876770,41725024,CNL
chr02,Bn8643,78779387,91286509,12507122,RLK
chr02,Bn8644,82477773,98274837,15797064,NBS
chr02,Bn8645,7887870,39125725,31237855,NBS
chr02,Bn8646,8099975,86568476,78468501,RLP
chr02,Bn8647,1032047,73055969,72023922,RLP
chr02,Bn8648,25765555,41707566,15942011,RLP
chr02,Bn8649,48829255,55065025,6235770,CN
chr02,Bn8650,10276194,23030496,12754302,RLP
chr02,Bn8651,19424695,23380477,3955782,RLP
chr02,Bn8652,40983462,70379670,29396208,NBS
chr02,Bn8653,74240832,99680841,25440009,TNL
chr02,Bn8654,13204807,36169963,22965156,CNL
chr02,Bn8655,24517362,38185408,13668046,CNL
chr02,Bn8656,76874705,88209777,11335072,RLP
chr02,Bn8657,82219612,85483423,3263811,NBS
chr02,Bn8658,51139531,75324751,24185220,RLP
chr02,Bn8659,30852033,89582298,58730265,CN
chr02,Bn8660,34880734,71565169,36684435,TN
chr02,Bn8661,66731022,93675113,26944091,RLK
chr02,Bn8662,94375533,96899053,2523520,CN
chr02,Bn8663,45996634,61590298,15593664,TNL
chr02,Bn8664,97160236,99878416,2718180,TN
chr02,Bn8665,52532190,70875636,18343446,CN
chr02,Bn8666,42978067,84812254,41834187,TNL
chr02,Bn8667,78894713,94149071,15254358,NBS
chr02,Bn8668,33195296,65604641,32409345,RLK
chr02,Bn8669,26821567,26865606,44039,CN
chr02,Bn8670,79423985,86844526,7420541,CN
chr02,Bn8671,5016270,58519419,53503149,CN
chr02,Bn8672,66483964,85900880,19416916,TN
chr02,Bn8673,44134215,90764285,46630070,CNL
chr02,Bn8674,43868690,85385932,41517242,CN
chr02,Bn8675,58248574,90751268,32502694,NBS
chr02,Bn8676,95307007,97284134,1977127,CNL
chr02,Bn8677,30751238,83387804,52636566,CNL
chr02,Bn8678,95391695,99189750,3798055,TN
chr02,Bn8679,42234228,42595890,361662,RLK
chr02,Bn8680,83969646,92340646,8371000,NBS
chr02,Bn8681,28503183,79022692,50519509,TN
chr02,Bn8682,81698948,92640712,10941764,RLK
chr02,Bn8683,99857185,99946530,89345,NBS
chr02,Bn8684,40885409,59726950,18841541,TN
chr02,Bn8685,13780358,45366748,31586390,CN
chr02,Bn8686,34202614,66566222,32363608,CNL
chr02,Bn8687,19058098,48106117,29048019,NBS
chr02,Bn8688,8911969,68567402,59655433,RLP
chr02,Bn8689,47310122,55861562,8551440,CNL
chr02,Bn8690,25915906,47458506,21542600,RLP
chr02,Bn8691,60983572,92313454,31329882,CNL
chr02,Bn8692,44215229,64722119,20506890,TN
chr02,Bn8693,70191566,89836746,19645180,NBS
chr02,Bn8694,74728198,79818231,5090033,NBS
chr02,Bn8695,42041550,93956435,51914885,CNL
chr02,Bn8696,43299552,80521005,37221453,TN
chr02,Bn8697,24967403,83815416,58848013,CN
chr02,Bn8698,91012908,96395156,5382248,CN
chr02,Bn8699,54216043,57927142,3711099,TN
chr02,Bn8700,44722502,55396143,10673641,NBS
chr02,Bn8701,80860282,81216844,356562,NBS
chr02,Bn8702,73647155,78952730,5305575,RLK
chr02,Bn8703,20494774,93157653,72662879,CN
chr02,Bn8704,4899211,95001579,90102368,RLP
chr02,Bn8705,61794511,63024937,1230426,NBS
chr02,Bn8706,10416901,36840777,26423876,RLK
chr02,Bn8707,88186310,89249540,1063230,NBS
chr02,Bn8708,90514489,99150580,8636091,TN
chr02,Bn8709,58761994,81278915,22516921,RLP
chr02,Bn8710,51032591,91375531,40342940,NBS
chr02,Bn8711,63067790,76306295,13238505,TN
chr02,Bn8712,91216889,95632916,4416027,CNL
chr02,Bn8713,57030860,79256546,22225686,CNL
chr02,Bn8714,36416825,48609274,12192449,CN
chr02,Bn8715,7063796,64745933,57682137,RLP
chr02,Bn8716,58763974,91764821,33000847,RLK
chr02,Bn8717,79297023,88067758,8770735,TN
chr02,Bn8718,33045347,56292193,23246846,CN
chr02,Bn8719,7299600,64703857,57404257,NBS
chr02,Bn8720,98186507,98287804,101297,RLK
chr02,Bn8721,91616154,96585341,4969187,CNL
chr02,Bn8722,81267882,81594179,326297,CN
chr02,Bn8723,78573558,81731111,3157553,RLK
chr02,Bn8724,86208810,92448126,6239316,TN
chr02,Bn8725,57101360,85114240,28012880,CNL
chr02,Bn8726,92196677,97764579,5567902,CN
chr02,Bn8727,91249216,96569073,5319857,CNL
chr02,Bn8728,34446233,44498123,10051890,TNL
chr02,Bn8729,38955664,78337507,39381843,NBS
chr02,Bn8730,26760511,75834520,49074009,TNL
chr02,Bn8731,55595396,87994888,32399492,RLK
chr02,Bn8732,4000344,54069452,50069108,TNL
chr02,Bn8733,81580457,94170156,12589699,TN
chr02,Bn8734,5213362,61107716,55894354,CN
chr02,Bn8735,42890410,91343863,48453453,NBS
chr02,Bn8736,80413545,92103304,11689759,CNL
chr02,Bn8737,38851470,92718720,53867250,TNL
chr02,Bn8738,97937458,98525558,588100,CN
chr02,Bn8739,63999032,96473817,32474785,CN
chr02,Bn8740,52940856,55930035,2989179,CNL
chr02,Bn8741,54763441,56078177,1314736,CN
chr02,Bn8742,6212307,46869693,40657386,NBS
chr02,Bn8743,32115247,76678847,44563600,CNL
chr02,Bn8744,24033887,51882437,27848550,TNL
chr02,Bn8745,91735919,92733852,997933,RLK
chr02,Bn8746,61041180,86586204,25545024,RLK
chr02,Bn8747,82998164,85767156,2768992,CN
chr02,Bn8748,12309887,52613461,40303574,RLK
chr02,Bn8749,73121757,99273269,26151512,RLP
chr02,Bn8750,1453153,72692672,71239519,RLP
chr02,Bn8751,64323132,89270610,24947478,CNL
chr02,Bn8752,34332316,43277966,8945650,TN
chr02,Bn8753,10952033,72401638,61449605,CNL
chr02,Bn8754,45508335,78111832,32603497,CN
chr02,Bn8755,3130389,75330099,72199710,TN
chr02,Bn8756,53736575,69273430,15536855,RLP
chr02,Bn8757,10689934,60860227,50170293,TN
chr02,Bn8758,83672038,85174539,1502501,TN
chr02,Bn8759,15698309,48648802,32950493,CNL
chr02,Bn8760,78271159,81818208,3547049,CNL
chr02,Bn8761,50692618,93584809,42892191,TN
chr02,Bn8762,38497432,72404162,33906730,TN
chr02,Bn8763,66333471,89389161,23055690,TNL
chr02,Bn8764,82177679,84268404,2090725,RLP
chr02,Bn8765,99305720,99845773,540053,TNL
chr02,Bn8766,97385550,99898551,2513001,NBS
chr02,Bn8767,86209346,94238971,8029625,CNL
chr02,Bn8768,19335195,78987026,59651831,CN
chr02,Bn8769,15698873,69015748,53316875,RLK
chr02,Bn8770,54847507,63607900,8760393,TN
chr02,Bn8771,23856429,83004387,59147958,CNL
chr02,Bn8772,93228090,94502050,1273960,TN
chr02,Bn8773,63937442,97564254,33626812,TNL
chr02,Bn8774,13664972,66582586,52917614,TN
chr02,Bn8775,50352561,54154844,3802283,RLP
chr02,Bn8776,10105735,81349659,71243924,RLK
chr02,Bn8777,2826398,61304446,58478048,TN
chr02,Bn8778,37352001,66948543,29596542,TN
chr02,Bn8779,50037922,66092556,16054634,RLP
chr02,Bn8780,75202344,80689346,5487002,TNL
chr02,Bn8781,30999665,33802744,2803079,TNL
chr02,Bn8782,73723640,97749380,24025740,CNL
chr02,Bn8783,5406766,40585931,35179165,NBS
chr02,Bn8784,7986102,16769480,8783378,CN
chr02,Bn8785,36096664,49759031,13662367,CNL
chr02,Bn8786,36898685,52640337,15741652,TNL
chr02,Bn8787,72326694,88646362,16319668,RLP
chr02,Bn8788,85139873,98686298,13546425,CN
chr02,Bn8789,21645391,74380772,52735381,TN
chr02,Bn8790,88100277,97903522,9803245,CN
chr02,Bn8791,57509430,93608371,36098941,NBS
chr02,Bn8792,19757050,26659351,6902301,TNL
chr02,Bn8793,61170081,80058568,18888487,NBS
chr02,Bn8794,50171295,79900487,29729192,NBS
chr02,Bn8795,89895837,91354753,1458916,CN
chr02,Bn8796,70816046,86120019,15303973,NBS
chr02,Bn8797,91297099,98116715,6819616,TNL
chr02,Bn8798,12341961,97967903,85625942,RLP
chr02,Bn8799,93613708,99674148,6060440,TNL
chr02,Bn8800,8028900,12565488,4536588,RLK
chr02,Bn8801,12143532,77819079,65675547,RLP
chr02,Bn8802,3260287,24587579,21327292,NBS
chr02,Bn8803,25544777,35747531,10202754,CNL
chr02,Bn8804,98101038,99950027,1848989,RLP
chr02,Bn8805,30242351,37105587,6863236,RLP
chr02,Bn8806,78080156,88768285,10688129,NBS
chr02,Bn8807,62394350,94130509,31736159,CNL
chr02,Bn8808,79873780,90554601,10680821,NBS
chr02,Bn8809,68403109,85031033,16627924,CN
chr02,Bn8810,53625110,93475155,39850045,NBS
chr02,Bn8811,38173779,43930893,5757114,CN
chr02,Bn8812,64092397,76347764,12255367,CN
chr02,Bn8813,2614056,71716422,69102366,CN
chr02,Bn8814,17911766,25367885,7456119,CN
chr02,Bn8815,94389686,99907615,5517929,RLP
chr02,Bn8816,5909634,14177249,8267615,NBS
chr02,Bn8817,84206274,84655733,449459,RLK
chr02,Bn8818,18961292,97972587,79011295,RLK
chr02,Bn8819,23396063,39588436,16192373,NBS
chr02,Bn8820,48744504,99433681,50689177,TN
chr02,Bn8821,76178900,98407260,22228360,RLP
chr02,Bn8822,86597650,96483258,9885608,CNL
chr02,Bn8823,89579367,97963455,8384088,TN
chr02,Bn8824,65180902,71261459,6080557,RLP
chr02,Bn8825,92187403,92826968,639565,CNL
chr02,Bn8826,78773049,91587542,12814493,CNL
chr02,Bn8827,6252706,22755798,16503092,TN
chr02,Bn8828,40444035,61187428,20743393,NBS
chr02,Bn8829,72710377,77720620,5010243,TNL
chr02,Bn8830,62476729,79833678,17356949,TN
chr02,Bn8831,81500936,88724121,7223185,TN
chr02,Bn8832,59050256,63346853,4296597,CNL
chr02,Bn8833,61562466,88790459,27227993,CN
chr02,Bn8834,76947421,78520178,1572757,TNL
chr02,Bn8835,29152634,30002690,850056,TN
chr02,Bn8836,16098193,38032702,21934509,TN
chr02,Bn8837,21783254,44003122,22219868,TN
chr02,Bn8838,5765239,18440932,12675693,NBS
chr02,Bn8839,3722733,60873051,57150318,RLP
chr02,Bn8840,75870604,88758765,12888161,NBS
chr02,Bn8841,32778844,94107159,61328315,RLK
chr02,Bn8842,19618077,22856032,3237955,RLP
chr02,Bn8843,66093300,84928091,18834791,RLP
chr02,Bn8844,40626739,76305174,35678435,NBS
chr02,Bn8845,58081205,86613194,28531989,TNL
chr02,Bn8846,48347968,54981143,6633175,RLP
chr02,Bn8847,57399268,80645559,23246291,RLK
chr02,Bn8848,87166982,90863305,3696323,TN
chr02,Bn8849,88356324,94849371,6493047,RLK
chr02,Bn8850,1673810,51823365,50149555,CNL
chr02,Bn8851,25073419,83804088,58730669,NBS
chr02,Bn8852,4817682,19092393,14274711,CNL
chr02,Bn8853,22950809,98523303,75572494,CN
chr02,Bn8854,44824599,46132344,1307745,TN
chr02,Bn8855,20597430,61505836,40908406,RLK
chr02,Bn8856,37677909,97707274,60029365,RLK
chr02,Bn8857,44783773,75798873,31015100,TNL
chr02,Bn8858,99487694,99837976,350282,CNL
chr02,Bn8859,38964143,39928099,963956,TNL
chr02,Bn8860,54063358,82748818,28685460,TN
chr02,Bn8861,21996222,66804988,44808766,CNL
chr02,Bn8862,76941708,97106854,20165146,RLP
chr02,Bn8863,92854118,94965709,2111591,RLK
chr02,Bn8864,6624971,69920299,63295328,RLP
chr02,Bn8865,8008770,18292446,10283676,TNL
chr02,Bn8866,9116693,30526547,21409854,NBS
chr02,Bn8867,33859141,61925889,28066748,RLP
chr02,Bn8868,18265014,26742339,8477325,CNL
chr02,Bn8869,79248688,94812662,15563974,TNL
chr02,Bn8870,61594652,72083486,10488834,NBS
chr02,Bn8871,26398387,73562757,47164370,CN
chr02,Bn8872,36150340,84984283,48833943,NBS
chr02,Bn8873,62009682,67135778,5126096,TN
chr02,Bn8874,40889604,53685195,12795591,RLP
chr02,Bn8875,60355807,60893112,537305,NBS
chr02,Bn8876,3918837,4002112,83275,RLK
chr02,Bn8877,19689406,89115859,69426453,NBS
chr02,Bn8878,60010386,81612747,21602361,TN
chr02,Bn8879,57250892,96614662,39363770,RLK
chr02,Bn8880,42913298,59555272,16641974,CNL
chr02,Bn8881,21773230,76820855,55047625,RLP
chr02,Bn8882,25530692,63223456,37692764,RLK
chr02,Bn8883,90389632,97874012,7484380,CNL
chr02,Bn8884,41907902,91407281,49499379,NBS
chr02,Bn8885,35286044,68228033,32941989,RLP
chr02,Bn8886,40635654,94835319,54199665,CNL
chr02,Bn8887,42760436,84187462,41427026,CNL
chr02,Bn8888,11516836,91402360,79885524,RLK
chr02,Bn8889,18430297,24783416,6353119,CNL
chr02,Bn8890,47849168,97085294,49236126,NBS
chr02,Bn8891,76645003,93005595,16360592,RLP
chr02,Bn8892,88387497,98906127,10518630,TNL
chr02,Bn8893,86979167,99575581,12596414,NBS
chr02,Bn8894,26542003,67419831,40877828,CN
chr02,Bn8895,19762907,68534080,48771173,RLK
chr02,Bn8896,31141905,43196721,12054816,TNL
chr02,Bn8897,78158072,90217735,12059663,CNL
chr02,Bn8898,26358420,93527545,67169125,TN
chr02,Bn8899,12010036,92132422,80122386,RLP
chr02,Bn8900,22691216,45098414,22407198,NBS
chr02,Bn8901,24148978,70070307,45921329,RLP
chr02,Bn8902,34020833,61739273,27718440,TNL
chr02,Bn8903,63174548,96681723,33507175,TNL
chr02,Bn8904,59708898,85130466,25421568,CN
chr02,Bn8905,72171924,85775901,13603977,CN
chr02,Bn8906,17648155,41443166,23795011,TNL
chr02,Bn8907,80576072,92791146,12215074,TN
chr02,Bn8908,21003278,28468824,7465546,RLK
chr02,Bn8909,23518435,73618245,50099810,NBS
chr02,Bn8910,30029590,31999635,1970045,CN
chr02,Bn8911,92948527,95460348,2511821,RLP
chr02,Bn8912,91607269,98556353,6949084,CN
chr02,Bn8913,78915519,91264978,12349459,RLP
chr02,Bn8914,60871164,90295893,29424729,CN
chr02,Bn8915,97256376,97479287,222911,NBS
chr02,Bn8916,70640072,94550392,23910320,NBS
chr02,Bn8917,43772900,55875121,12102221,RLP
chr02,Bn8918,91687887,94287021,2599134,RLP
chr02,Bn8919,63994791,70191231,6196440,TN
chr02,Bn8920,2645368,35320073,32674705,CN
chr02,Bn8921,74403375,99076363,24672988,RLP
chr02,Bn8922,65324079,89579691,24255612,RLP
chr02,Bn8923,92321077,94045750,1724673,CNL
chr02,Bn8924,26464025,94058267,67594242,RLK
chr02,Bn8925,1624389,72525798,70901409,RLK
chr02,Bn8926,59205413,96220854,37015441,RLK
chr02,Bn8927,75331581,86207495,10875914,RLK
chr02,Bn8928,5155364,76038915,70883551,CN
chr02,Bn8929,82585166,82998460,413294,NBS
chr02,Bn8930,5885417,61791520,55906103,NBS
chr02,Bn8931,46505463,49549355,3043892,CN
chr02,Bn8932,54582249,57693369,3111120,TN
chr02,Bn8933,82686434,88251186,5564752,RLP
chr02,Bn8934,9138700,77196923,68058223,NBS
chr02,Bn8935,26273441,69967985,43694544,NBS
chr02,Bn8936,90927061,91851850,924789,CNL
chr02,Bn8937,25316584,67213097,41896513,TNL
chr02,Bn8938,93458121,98198460,4740339,RLP
chr02,Bn8939,28561027,41288553,12727526,TN
chr02,Bn8940,6623152,32537999,25914847,TNL
chr02,Bn8941,8080940,11288980,3208040,TN
chr02,Bn8942,61790102,94534861,32744759,TNL
chr02,Bn8943,12412045,62535338,50123293,RLK
chr02,Bn8944,14336361,92123058,77786697,CNL
chr02,Bn8945,54753482,71029297,16275815,TNL
chr02,Bn8946,44797140,77920535,33123395,RLK
chr02,Bn8947,76763295,86795804,10032509,TN
chr02,Bn8948,87743755,96528637,8784882,TN
chr02,Bn8949,18815597,39361322,20545725,TN
chr02,Bn8950,26368642,28097328,1728686,CNL
chr02,Bn8951,54750465,59361203,4610738,RLK
chr02,Bn8952,15392234,90072780,74680546,RLP
chr02,Bn8953,31339604,78108652,46769048,CNL
chr02,Bn8954,44317754,92153828,47836074,RLP
chr02,Bn8955,36782907,42010266,5227359,RLK
chr02,Bn8956,38045399,96856818,58811419,CNL
chr02,Bn8957,63314079,91341623,28027544,RLK
chr02,Bn8958,88587352,89359490,772138,TNL
chr02,Bn8959,16615486,23619272,7003786,RLK
chr02,Bn8960,31657414,99131759,67474345,RLP
chr02,Bn8961,22912014,49152217,26240203,RLP
chr02,Bn8962,95169655,97827961,2658306,TN
chr02,Bn8963,72545335,92009895,19464560,NBS
chr02,Bn8964,86235056,98091643,11856587,CNL
chr02,Bn8965,95883744,97081884,1198140,TN
chr02,Bn8966,84901478,95549079,10647601,RLK
chr02,Bn8967,15275420,56653739,41378319,NBS
chr02,Bn8968,87989800,91945209,3955409,NBS
chr02,Bn8969,53071581,91028827,37957246,NBS
chr02,Bn8970,62386350,74260532,11874182,TNL
chr02,Bn8971,76957827,89372703,12414876,NBS
chr02,Bn8972,12011808,21750648,9738840,CN
chr02,Bn8973,10328878,76606371,66277493,NBS
chr02,Bn8974,42158133,74093290,31935157,RLK
chr02,Bn8975,89916675,94902626,4985951,CNL
chr02,Bn8976,26895566,92675656,65780090,RLP
chr02,Bn8977,11553652,67697771,56144119,CN
chr02,Bn8978,82697076,90607652,7910576,TNL
chr02,Bn8979,41542133,53270011,11727878,RLP
chr02,Bn8980,97486960,98261631,774671,CN
chr02,Bn8981,67691338,72778797,5087459,CN
chr02,Bn8982,95146776,95980914,834138,CN
chr02,Bn8983,7280220,15455891,8175671,TN
chr02,Bn8984,32572095,46429616,13857521,RLK
chr02,Bn8985,54532950,64079425,9546475,CN
chr02,Bn8986,45316432,63641960,18325528,CNL
chr02,Bn8987,17754151,48696250,30942099,NBS
chr02,Bn8988,84861457,99845189,14983732,RLK
chr02,Bn8989,19164069,77279107,58115038,CN
chr02,Bn8990,60868134,67086084,6217950,NBS
chr02,Bn8991,44220617,58278243,14057626,RLP
chr02,Bn8992,37883312,67410659,29527347,TN
chr02,Bn8993,25946007,55125359,29179352,RLK
chr02,Bn8994,71519006,71663382,144376,CNL
chr02,Bn8995,1327939,88006403,86678464,CN
chr02,Bn8996,50861345,71492701,20631356,CN
chr02,Bn8997,18856890,70908340,52051450,RLP
chr02,Bn8998,18584932,81022407,62437475,CN
chr02,Bn8999,22448840,71639732,49190892,TN
chr02,Bn9000,85149090,88309074,3159984,CNL
chr02,Bn9001,16249654,40064764,23815110,RLP
chr02,Bn9002,2039823,42807748,40767925,CNL
chr02,Bn9003,85423962,85787644,363682,RLP
chr02,Bn9004,46937497,84038929,37101432,TN
chr02,Bn9005,41352819,71606319,30253500,RLK
chr02,Bn9006,62450099,98621117,36171018,TNL
chr02,Bn9007,77597526,98858222,21260696,NBS
chr02,Bn9008,15939477,63761889,47822412,CN
chr02,Bn9009,6035073,59262220,53227147,RLK
chr02,Bn9010,34183665,38932613,4748948,RLK
chr02,Bn9011,21157622,76846801,55689179,TN
chr02,Bn9012,72014483,80011192,7996709,CNL
chr02,Bn9013,71208948,72579022,1370074,NBS
chr02,Bn9014,82116508,91874642,9758134,TN
chr02,Bn9015,56287615,68907878,12620263,TN
chr02,Bn9016,17597634,60233884,42636250,CNL
chr02,Bn9017,77999766,82634420,4634654,RLP
chr02,Bn9018,9209164,69519124,60309960,RLP
chr02,Bn9019,71913483,73919760,2006277,RLP
chr02,Bn9020,28714828,44079025,15364197,NBS
chr02,Bn9021,95156450,96890539,1734089,TNL
chr02,Bn9022,73744949,84331931,10586982,TNL
chr02,Bn9023,18818492,87349070,68530578,NBS
chr02,Bn9024,47386581,54824159,7437578,CNL
chr02,Bn9025,52421635,54698548,2276913,RLK
chr02,Bn9026,15743517,97617334,81873817,CNL
chr02,Bn9027,8380266,57445227,49064961,NBS
chr02,Bn9028,53839960,91984055,38144095,CNL
chr02,Bn9029,69598872,76807883,7209011,TNL
chr02,Bn9030,32070556,42383965,10313409,TN
chr02,Bn9031,62011647,89589026,27577379,CNL
chr02,Bn9032,48338510,61612123,13273613,NBS
chr02,Bn9033,63654854,80757370,17102516,TNL
chr02,Bn9034,17877367,69432665,51555298,RLK
chr02,Bn9035,73165767,78575628,5409861,TNL
chr02,Bn9036,78008661,99140350,21131689,RLP
chr02,Bn9037,73060808,90058780,16997972,RLK
chr02,Bn9038,70855342,93116395,22261053,CNL
chr02,Bn9039,76502033,77200049,698016,RLP
chr02,Bn9040,2116321,32244061,30127740,CNL
chr02,Bn9041,25671234,57838121,32166887,NBS
chr02,Bn9042,64688636,99200914,34512278,RLK
chr02,Bn9043,41123565,76997334,35873769,TNL
chr02,Bn9044,42672261,56457851,13785590,RLK
chr02,Bn9045,74230972,98361965,24130993,TNL
chr02,Bn9046,8202935,54331737,46128802,RLK
chr02,Bn9047,19470377,57787433,38317056,TN
chr02,Bn9048,50341778,74681074,24339296,CN
chr02,Bn9049,92333852,97926613,5592761,CN
chr02,Bn9050,9180998,64690035,55509037,CNL
chr02,Bn9051,23066449,44330489,21264040,CNL
chr02,Bn9052,27700852,94003304,66302452,CN
chr02,Bn9053,60784849,83699586,22914737,TNL
chr02,Bn9054,12997214,21453765,8456551,TN
chr02,Bn9055,26669250,55395214,28725964,CN
chr02,Bn9056,77080522,93893177,16812655,RLK
chr02,Bn9057,40372405,82949864,42577459,CNL
chr02,Bn9058,94633876,94656994,23118,TNL
chr02,Bn9059,57390967,68743990,11353023,NBS
chr02,Bn9060,34884211,50515046,15630835,RLP
chr02,Bn9061,46383308,80147019,33763711,CN
chr02,Bn9062,91179583,92959689,1780106,TNL
chr02,Bn9063,53609667,55519412,1909745,CNL
chr02,Bn9064,49866408,67946775,18080367,CN
chr02,Bn9065,43312528,70195317,26882789,CN
chr02,Bn9066,61798485,77551682,15753197,NBS
chr02,Bn9067,73482838,87014746,13531908,TNL
chr02,Bn9068,73126661,83057891,9931230,RLK
chr02,Bn9069,3080751,33170391,30089640,RLK
chr02,Bn9070,14478006,88512642,74034636,NBS
chr02,Bn9071,67786936,76570025,8783089,RLK
chr02,Bn9072,51381258,63242152,11860894,CNL
chr02,Bn9073,34197544,51075174,16877630,CNL
chr02,Bn9074,91585903,91796052,210149,TN
chr02,Bn9075,77134239,93889958,16755719,RLK
chr02,Bn9076,32153245,54864400,22711155,RLP
chr02,Bn9077,30113565,83338909,53225344,RLK
chr02,Bn9078,71913398,73576953,1663555,TN
chr02,Bn9079,86938005,99928067,12990062,TNL
chr02,Bn9080,62761819,74930702,12168883,RLK
chr02,Bn9081,17312447,61444203,44131756,TNL
chr02,Bn9082,22669177,35218854,12549677,NBS
chr02,Bn9083,91903575,92721311,817736,TN
chr02,Bn9084,71329412,86855051,15525639,TN
chr02,Bn9085,37173217,57646249,20473032,NBS
chr02,Bn9086,98850468,99800800,950332,CNL
chr02,Bn9087,52079424,99702010,47622586,TNL
chr02,Bn9088,53886974,58931230,5044256,RLP
chr02,Bn9089,27755520,58385752,30630232,TN
chr02,Bn9090,78738489,94073404,15334915,TNL
chr02,Bn9091,38405386,51984166,13578780,CN
chr02,Bn9092,84483466,98589506,14106040,RLP
chr02,Bn9093,69750939,72172389,2421450,NBS
chr02,Bn9094,7645184,85580631,77935447,NBS
chr02,Bn9095,41488393,48723412,7235019,CNL
chr02,Bn9096,91721651,99999874,8278223,TN
chr02,Bn9097,84021094,95604871,11583777,RLP
chr02,Bn9098,74156227,77163709,3007482,RLK
chr02,Bn9099,90334415,93526791,3192376,CNL
chr02,Bn9100,77560710,82704066,5143356,CN
chr02,Bn9101,62692028,72521258,9829230,TN
chr02,Bn9102,60310144,94768022,34457878,CNL
chr02,Bn9103,55599061,98238660,42639599,TNL
chr02,Bn9104,58236121,58361103,124982,TNL
chr02,Bn9105,50747637,77051993,26304356,CN
chr02,Bn9106,70072616,82185443,12112827,CN
chr02,Bn9107,39624078,48713400,9089322,CN
chr02,Bn9108,55435746,72491860,17056114,CN
chr02,Bn9109,87533969,98810728,11276759,RLK
chr02,Bn9110,58476487,80542510,22066023,TN
chr02,Bn9111,59285702,61282620,1996918,CNL
chr02,Bn9112,80552537,98449538,17897001,NBS
chr02,Bn9113,11525176,37625817,26100641,CN
chr02,Bn9114,82096924,92014701,9917777,TN
chr02,Bn9115,66309552,76107282,9797730,TNL
chr02,Bn9116,35338273,72885544,37547271,TN
chr02,Bn9117,56976598,58270571,1293973,RLP
chr02,Bn9118,17503317,45618705,28115388,NBS
chr02,Bn9119,36093259,61875329,25782070,TN
chr02,Bn9120,47251854,71409004,24157150,RLK
chr02,Bn9121,14719706,29733566,15013860,RLK
chr02,Bn9122,80949527,96321776,15372249,CN
chr02,Bn9123,38800932,86765139,47964207,NBS
chr02,Bn9124,47425718,77096389,29670671,TNL
chr02,Bn9125,86405105,87616626,1211521,RLP
chr02,Bn9126,52196028,91402386,39206358,NBS
chr02,Bn9127,90590636,94285064,3694428,RLK
chr02,Bn9128,96193569,98829497,2635928,TNL
chr02,Bn9129,35765659,89638653,53872994,CNL
chr02,Bn9130,18221594,73709286,55487692,TNL
chr02,Bn9131,23429397,56561398,33132001,TN
chr02,Bn9132,83064131,96186844,13122713,NBS
chr02,Bn9133,10157264,15582155,5424891,TNL
chr02,Bn9134,6410593,83707706,77297113,CNL
chr02,Bn9135,34041051,62150319,28109268,RLK
chr02,Bn9136,11513862,37471188,25957326,TNL
chr02,Bn9137,72479500,84018597,11539097,CN
chr02,Bn9138,50112043,69879934,19767891,RLK
chr02,Bn9139,30173293,46389505,16216212,CN
chr02,Bn9140,65389429,92420569,27031140,RLK
chr02,Bn9141,55870997,65808053,9937056,CNL
chr02,Bn9142,23916728,82722153,58805425,TNL
chr02,Bn9143,32562056,91556979,58994923,RLK
chr02,Bn9144,82628806,84397983,1769177,TN
chr02,Bn9145,86623344,94730451,8107107,RLP
chr02,Bn9146,58457737,85591310,27133573,CN
chr02,Bn9147,40421324,87999850,47578526,CN
chr02,Bn9148,52492982,61259095,8766113,CN
chr02,Bn9149,82426418,96596264,14169846,RLK
chr02,Bn9150,81123333,96682697,15559364,TN
chr02,Bn9151,39259131,98197913,58938782,CN
chr02,Bn9152,50326657,84454849,34128192,NBS
chr02,Bn9153,36947203,64133644,27186441,TN
chr02,Bn9154,7202175,97692488,90490313,TN
chr02,Bn9155,58234984,96797307,38562323,TN
chr02,Bn9156,29933397,77481372,47547975,CNL
chr02,Bn9157,25631425,82350689,56719264,NBS
chr02,Bn9158,16356157,23564259,7208102,CN
chr02,Bn9159,87831529,97652435,9820906,NBS
chr02,Bn9160,76654315,83732732,7078417,RLK
chr02,Bn9161,36163438,42644510,6481072,TN
chr02,Bn9162,69826776,85027423,15200647,NBS
chr02,Bn9163,85399860,95695024,10295164,TNL
chr02,Bn9164,62870137,76810779,13940642,RLK
chr02,Bn9165,55980711,96769456,40788745,CNL
chr02,Bn9166,84695904,89011931,4316027,RLP
chr02,Bn9167,52828525,89530210,36701685,CNL
chr02,Bn9168,25703242,40141042,14437800,CNL
chr02,Bn9169,67424159,84533715,17109556,CNL
chr02,Bn9170,95761506,96508991,747485,TNL
chr02,Bn9171,85130060,99027344,13897284,RLP
chr02,Bn9172,47049549,47482001,432452,RLK
chr02,Bn9173,80319078,86244921,5925843,RLK
chr02,Bn9174,57134195,60900920,3766725,TN
chr02,Bn9175,52562318,62153106,9590788,CN
chr02,Bn9176,39491495,88493602,49002107,RLP
chr02,Bn9177,87455059,87504238,49179,RLK
chr02,Bn9178,19474559,52570204,33095645,RLK
chr02,Bn9179,2905032,56397545,53492513,TN
chr02,Bn9180,84502439,87345830,2843391,CN
chr02,Bn9181,41728050,98050251,56322201,CNL
